book_id,title,author,isbn13,cover_path
7,The Hobbit,J.R.R. Tolkien,9.7806182603e+12,book_covers\7_The Hobbit.jpg
8,The Catcher in the Rye,J.D. Salinger,9.78031676917e+12,book_covers\8_The Catcher in the Rye.jpg
3,"Twilight (Twilight, #1)",Stephenie Meyer,9.78031601584e+12,"book_covers\3_Twilight (Twilight, #1).jpg"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,9.78043955493e+12,book_covers\2_Harry Potter and the Sorcerer's Stone (Harry Potte.jpg
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,9.78141652479e+12,"book_covers\9_Angels & Demons  (Robert Langdon, #1).jpg"
6,The Fault in Our Stars,John Green,9.78052547881e+12,book_covers\6_The Fault in Our Stars.jpg
10,Pride and Prejudice,Jane Austen,9.78067978327e+12,book_covers\10_Pride and Prejudice.jpg
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,9.78043902348e+12,"book_covers\1_The Hunger Games (The Hunger Games, #1).jpg"
5,The Great Gatsby,F. Scott Fitzgerald,9.78074327356e+12,book_covers\5_The Great Gatsby.jpg
4,To Kill a Mockingbird,Harper Lee,9.78006112008e+12,book_covers\4_To Kill a Mockingbird.jpg
14,Animal Farm,George Orwell,9.78045228424e+12,book_covers\14_Animal Farm.jpg
11,The Kite Runner,Khaled Hosseini,9.78159448e+12,book_covers\11_The Kite Runner.jpg
12,"Divergent (Divergent, #1)",Veronica Roth,9.78006202404e+12,"book_covers\12_Divergent (Divergent, #1).jpg"
15,The Diary of a Young Girl,Anne Frank,9.78055329698e+12,
13,1984,George Orwell,9.78045152494e+12,book_covers\13_1984.jpg
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,9.7804390235e+12,"book_covers\17_Catching Fire (The Hunger Games, #2).jpg"
16,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,9.78030726975e+12,"book_covers\16_The Girl with the Dragon Tattoo (Millennium, #1).jpg"
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,9.78061834626e+12,"book_covers\19_The Fellowship of the Ring (The Lord of the Rings,.jpg"
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,9.78043902351e+12,"book_covers\20_Mockingjay (The Hunger Games, #3).jpg"
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,9.78043965548e+12,book_covers\18_Harry Potter and the Prisoner of Azkaban (Harry Po.jpg
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,9.78043935807e+12,book_covers\21_Harry Potter and the Order of the Phoenix (Harry P.jpg
22,The Lovely Bones,Alice Sebold,9.78031616668e+12,book_covers\22_The Lovely Bones.jpg
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,9.78030727767e+12,"book_covers\26_The Da Vinci Code (Robert Langdon, #2).jpg"
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,9.78043906487e+12,book_covers\23_Harry Potter and the Chamber of Secrets (Harry Pot.jpg
29,Romeo and Juliet,William Shakespeare,9.78074347712e+12,book_covers\29_Romeo and Juliet.jpg
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,9.78054501022e+12,book_covers\25_Harry Potter and the Deathly Hallows (Harry Potter.jpg
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,9.7804391396e+12,"book_covers\24_Harry Potter and the Goblet of Fire (Harry Potter,.jpg"
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,9.78043978597e+12,book_covers\27_Harry Potter and the Half-Blood Prince (Harry Pott.jpg
31,The Help,Kathryn Stockett,9.78039915534e+12,book_covers\31_The Help.jpg
30,Gone Girl,Gillian Flynn,9.78029785938e+12,book_covers\30_Gone Girl.jpg
28,Lord of the Flies,William Golding,9.78014028333e+12,book_covers\28_Lord of the Flies.jpg
32,Of Mice and Men,John Steinbeck,9.78014200067e+12,book_covers\32_Of Mice and Men.jpg
33,Memoirs of a Geisha,Arthur Golden,9.78073932622e+12,book_covers\33_Memoirs of a Geisha.jpg
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,9.78161213029e+12,"book_covers\34_Fifty Shades of Grey (Fifty Shades, #1).jpg"
38,The Time Traveler's Wife,Audrey Niffenegger,9.78096581867e+12,book_covers\38_The Time Traveler's Wife.jpg
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,9.78006076489e+12,"book_covers\37_The Lion, the Witch, and the Wardrobe (Chronicles .jpg"
36,"The Giver (The Giver, #1)",Lois Lowry,9.78038573255e+12,"book_covers\36_The Giver (The Giver, #1).jpg"
40,"Eat, Pray, Love",Elizabeth Gilbert,9.78014303841e+12,"book_covers\40_Eat, Pray, Love.jpg"
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,9.78055358848e+12,"book_covers\39_A Game of Thrones (A Song of Ice and Fire, #1).jpg"
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,9.78078683865e+12,book_covers\41_The Lightning Thief (Percy Jackson and the Olympia.jpg
43,Jane Eyre,Charlotte Brontë,9.78014243721e+12,
35,The Alchemist,Paulo Coelho,9.78006112242e+12,book_covers\35_The Alchemist.jpg
47,The Book Thief,Markus Zusak,9.780375831e+12,book_covers\47_The Book Thief.jpg
49,"New Moon (Twilight, #2)",Stephenie Meyer,9.78031616019e+12,"book_covers\49_New Moon (Twilight, #2).jpg"
45,Life of Pi,Yann Martel,9.78077043008e+12,book_covers\45_Life of Pi.jpg
42,"Little Women (Little Women, #1)",Louisa May Alcott,9.7804515293e+12,"book_covers\42_Little Women (Little Women, #1).jpg"
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,9.78055381672e+12,"book_covers\44_The Notebook (The Notebook, #1).jpg"
46,Water for Elephants,Sara Gruen,9.7815651256e+12,book_covers\46_Water for Elephants.jpg
48,Fahrenheit 451,Ray Bradbury,9.78030734798e+12,book_covers\48_Fahrenheit 451.jpg
50,Where the Sidewalk Ends,Shel Silverstein,9.78006051303e+12,
51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,9.78141691428e+12,"book_covers\51_City of Bones (The Mortal Instruments, #1).jpg"
52,"Eclipse (Twilight, #3)",Stephenie Meyer,9.78031616021e+12,"book_covers\52_Eclipse (Twilight, #3).jpg"
55,Brave New World,Aldous Huxley,9.78006092988e+12,book_covers\55_Brave New World.jpg
53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,9.7803758267e+12,"book_covers\53_Eragon (The Inheritance Cycle, #1).jpg"
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,9.7803453918e+12,book_covers\54_The Hitchhiker's Guide to the Galaxy (Hitchhiker's.jpg
56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,9.78031606793e+12,"book_covers\56_Breaking Dawn (Twilight, #4).jpg"
59,Charlotte's Web,E.B. White,9.78006441094e+12,book_covers\59_Charlotte's Web.jpg
58,The Adventures of Huckleberry Finn,Mark Twain,9.78014243718e+12,book_covers\58_The Adventures of Huckleberry Finn.jpg
57,The Secret Life of Bees,Sue Monk Kidd,9.78014200174e+12,book_covers\57_The Secret Life of Bees.jpg
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,9.78140003272e+12,book_covers\60_The Curious Incident of the Dog in the Night-Time.jpg
61,The Girl on the Train,Paula Hawkins,9.78159463367e+12,book_covers\61_The Girl on the Train.jpg
62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,9.78067987924e+12,"book_covers\62_The Golden Compass (His Dark Materials, #1).jpg"
63,Wuthering Heights,Emily Brontë,9.7803939789e+12,book_covers\63_Wuthering Heights.jpg
67,A Thousand Splendid Suns,Khaled Hosseini,9.7815944895e+12,book_covers\67_A Thousand Splendid Suns.jpg
66,Gone with the Wind,Margaret Mitchell,9.78044667554e+12,book_covers\66_Gone with the Wind.jpg
65,Slaughterhouse-Five,Kurt Vonnegut Jr.,9.78038533385e+12,book_covers\65_Slaughterhouse-Five.jpg
64,My Sister's Keeper,Jodi Picoult,9.78074345454e+12,book_covers\64_My Sister's Keeper.jpg
69,"Insurgent (Divergent, #2)",Veronica Roth,9.78000744291e+12,"book_covers\69_Insurgent (Divergent, #2).jpg"
68,The Perks of Being a Wallflower,Stephen Chbosky,9.78067102735e+12,book_covers\68_The Perks of Being a Wallflower.jpg
70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,9.7808125507e+12,"book_covers\70_Ender's Game (Ender's Saga, #1).jpg"
71,Frankenstein,Mary Wollstonecraft Shelley,9.78014143947e+12,book_covers\71_Frankenstein.jpg
73,"The Host (The Host, #1)",Stephenie Meyer,9.78031606805e+12,"book_covers\73_The Host (The Host, #1).jpg"
