book_id,isbn13,isbn,authors,original_publication_year,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count
1,9780439023480,439023483,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",4.34,66715,127936,560092,1481305,2706317,4780653
2,9780439554930,439554934,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,75504,101676,455024,1156318,3011543,4602479
3,9780316015840,316015849,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",3.57,456191,436802,793319,875073,1355439,3866839
4,9780061120080,61120081,Harper Lee,1960.0,To Kill a Mockingbird,4.25,60427,117415,446835,1001952,1714267,3198671
5,9780743273560,743273567,F. Scott Fitzgerald,1925.0,The Great Gatsby,3.89,86236,197621,606158,936012,947718,2683664
6,9780525478810,525478817,John Green,2012.0,The Fault in Our Stars,4.26,47994,92723,327550,698471,1311871,2346404
7,9780618260300,618260307,J.R.R. Tolkien,1937.0,The Hobbit,4.25,46023,76784,288649,665635,1119718,2071616
8,9780316769170,316769177,J.D. Salinger,1951.0,The Catcher in the Rye,3.79,109383,185520,455042,661516,709176,2044241
9,9781416524790,1416524797,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",3.85,77841,145740,458429,716569,680175,2001311
10,9780679783270,679783261,Jane Austen,1813.0,Pride and Prejudice,4.24,54700,86485,284852,609755,1155673,2035490
11,9781594480000,1594480001,Khaled Hosseini,2003.0,The Kite Runner,4.26,34288,59980,226062,628174,929591,1813044
12,9780062024040,62024035,Veronica Roth,2011.0,"Divergent (Divergent, #1)",4.24,36315,82870,310297,673028,1114304,1903563
13,9780451524940,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984,4.14,41845,86425,324874,692021,908229,1956832
14,9780452284240,452284244,George Orwell,1945.0,Animal Farm,3.87,66854,135147,433432,698642,648912,1881700
15,9780553296980,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,4.1,45225,91270,355756,656870,875372,1972666
16,9780307269750,307269752,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,54835,86051,285413,667485,836050,1808403
17,9780439023500,439023491,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",4.3,10492,48030,262010,687238,980309,1831039
18,9780439655480,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,6716,20413,166129,509447,1266670,1832823
19,9780618346260,618346252,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,38031,55862,202332,493922,1042394,1766803
20,9780439023510,439023513,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",4.03,30144,110498,373060,618271,738775,1719760
21,9780439358070,439358078,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,9528,31577,180210,494427,1124806,1735368
22,9780316166680,316166685,Alice Sebold,2002.0,The Lovely Bones,3.77,62777,131188,404699,583575,479323,1605173
23,9780439064870,439064864,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,8253,42251,242345,548266,1065084,1779331
24,9780439139600,439139600,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,6676,20210,151785,494926,1195045,1753043
25,9780545010220,545010225,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,9363,22245,113646,383914,1318227,1746574
26,9780307277670,307277674,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",3.79,71345,126493,340790,539277,479387,1447148
27,9780439785970,439785960,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,7308,21516,136333,459028,1161491,1678823
28,9780140283330,140283331,William Golding,1954.0,Lord of the Flies,3.64,92779,160295,425648,564916,427846,1605019
